>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end
rm: cannot remove 'res1.txt': No such file or directory
>> Csmith, 1, , ,  * Seed:      2001777860, 163585, 21:08:37, 21:08:50, 21:08:37, 21:08:39, 21:08:39, 21:08:50, 21:08:39, 21:08:40, 21:08:50, 21:08:50, 21:08:50, 21:08:50
>> Csmith, 2, checksum = 8A865CA7, checksum = 8A865CA7,  * Seed:      1796217624, 73383, 21:08:50, 21:08:53, 21:08:50, 21:08:52, 21:08:52, 21:08:53, 21:08:52, 21:08:52, 21:08:52, 21:08:52, 21:08:53, 21:08:53
>> Csmith, 3, checksum = 417F4EEF, checksum = 417F4EEF,  * Seed:      2796030248, 91983, 21:08:53, 21:08:56, 21:08:53, 21:08:55, 21:08:55, 21:08:56, 21:08:55, 21:08:55, 21:08:55, 21:08:55, 21:08:56, 21:08:56
>> Csmith, 4, checksum = CB8974F7, checksum = CB8974F7,  * Seed:      106022776, 65506, 21:08:56, 21:08:58, 21:08:56, 21:08:58, 21:08:58, 21:08:58, 21:08:58, 21:08:58, 21:08:58, 21:08:58, 21:08:58, 21:08:58
>> Csmith, 5, checksum = 606200BB, checksum = 606200BB,  * Seed:      1439555860, 72568, 21:08:58, 21:09:00, 21:08:58, 21:08:59, 21:08:59, 21:09:00, 21:08:59, 21:09:00, 21:09:00, 21:09:00, 21:09:00, 21:09:00
>> Csmith, 6, checksum = E5F8F38F, checksum = E5F8F38F,  * Seed:      495939604, 118084, 21:09:00, 21:09:06, 21:09:00, 21:09:05, 21:09:05, 21:09:06, 21:09:05, 21:09:06, 21:09:06, 21:09:06, 21:09:06, 21:09:06
>> Csmith, 7, checksum = 5165F367, checksum = 5165F367,  * Seed:      3302306112, 118333, 21:09:06, 21:09:09, 21:09:06, 21:09:09, 21:09:09, 21:09:09, 21:09:09, 21:09:09, 21:09:09, 21:09:09, 21:09:09, 21:09:09
>> Csmith, 8, checksum = 5098B68A, checksum = 5098B68A,  * Seed:      1555398260, 78740, 21:09:09, 21:09:11, 21:09:09, 21:09:10, 21:09:10, 21:09:11, 21:09:10, 21:09:11, 21:09:11, 21:09:11, 21:09:11, 21:09:11
>> Csmith, 9, , ,  * Seed:      526098384, 85276, 21:09:11, 21:09:23, 21:09:11, 21:09:12, 21:09:12, 21:09:23, 21:09:12, 21:09:12, 21:09:23, 21:09:23, 21:09:23, 21:09:23
>> Csmith, 10, checksum = 9A766561, checksum = 9A766561,  * Seed:      2313871564, 138732, 21:09:23, 21:09:31, 21:09:23, 21:09:30, 21:09:30, 21:09:31, 21:09:30, 21:09:30, 21:09:30, 21:09:30, 21:09:31, 21:09:31
>> Csmith, 11, checksum = CA60684E, checksum = CA60684E,  * Seed:      1694439100, 58779, 21:09:31, 21:09:32, 21:09:31, 21:09:31, 21:09:31, 21:09:32, 21:09:31, 21:09:32, 21:09:32, 21:09:32, 21:09:32, 21:09:32
>> Csmith, 12, checksum = 2812C65E, checksum = 2812C65E,  * Seed:      4280341380, 410266, 21:09:32, 21:09:55, 21:09:32, 21:09:48, 21:09:48, 21:09:55, 21:09:48, 21:09:50, 21:09:50, 21:09:50, 21:09:55, 21:09:55
>> Csmith, 13, checksum = 49BD9850, checksum = 49BD9850,  * Seed:      2614260344, 206167, 21:09:55, 21:10:02, 21:09:55, 21:10:00, 21:10:00, 21:10:02, 21:10:00, 21:10:01, 21:10:01, 21:10:01, 21:10:02, 21:10:02
>> Csmith, 14, , ,  * Seed:      3431779536, 196438, 21:10:02, 21:10:23, 21:10:02, 21:10:12, 21:10:12, 21:10:23, 21:10:12, 21:10:13, 21:10:23, 21:10:23, 21:10:23, 21:10:23
>> Csmith, 15, checksum = 60CF8DF, checksum = 60CF8DF,  * Seed:      2693402136, 274871, 21:10:23, 21:10:30, 21:10:23, 21:10:29, 21:10:29, 21:10:30, 21:10:29, 21:10:29, 21:10:29, 21:10:29, 21:10:30, 21:10:30
>> Csmith, 16, checksum = 6D6ACC1E, checksum = 6D6ACC1E,  * Seed:      4139557948, 80896, 21:10:30, 21:10:34, 21:10:30, 21:10:33, 21:10:33, 21:10:34, 21:10:33, 21:10:33, 21:10:33, 21:10:33, 21:10:34, 21:10:34
>> Csmith, 17, checksum = E72BD69B, checksum = E72BD69B,  * Seed:      2898424236, 3090, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34
>> Csmith, 18, checksum = A988DFF7, checksum = A988DFF7,  * Seed:      3545020596, 2424, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34, 21:10:34
>> Csmith, 19, checksum = B3FF326E, checksum = B3FF326E,  * Seed:      4134465796, 111503, 21:10:34, 21:10:36, 21:10:34, 21:10:36, 21:10:36, 21:10:36, 21:10:36, 21:10:36, 21:10:36, 21:10:36, 21:10:36, 21:10:36
