>> Tool, Iteration, Result GCC O2, Result CLANG O2, SEED, File-Size, Start, End, Gen-Start, Gen-End, DIFF-Start, DIFF-END, TEST1-Comp-Start, TEST1-RUN-Start, TEST1-RUN-end, TEST2-Comp-Start, TEST2-Comp-end/TEST2-RUN-Start, TEST2-RUN-end, Valid?
>> Csmith, 1, checksum = 0, checksum = 0,  * Seed:      305707130, 2253, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 12:22:20, 1
>> Csmith, 2, checksum = 19338D73, checksum = 19338D73,  * Seed:      1018139390, 192009, 12:22:20, 12:22:25, 12:22:20, 12:22:24, 12:22:24, 12:22:25, 12:22:24, 12:22:24, 12:22:24, 12:22:24, 12:22:25, 12:22:25, 1
>> Csmith, 3, checksum = 4CAA2E6C, checksum = 4CAA2E6C,  * Seed:      3994406600, 68827, 12:22:25, 12:22:27, 12:22:25, 12:22:26, 12:22:26, 12:22:27, 12:22:26, 12:22:26, 12:22:26, 12:22:26, 12:22:27, 12:22:27, 1
>> Csmith, 4, checksum = 165010AD, checksum = 165010AD,  * Seed:      1775454684, 101207, 12:22:27, 12:22:29, 12:22:27, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 12:22:29, 1
>> Csmith, 5, checksum = FD1662B5, checksum = FD1662B5,  * Seed:      2836611005, 211312, 12:22:29, 12:22:35, 12:22:29, 12:22:34, 12:22:34, 12:22:35, 12:22:34, 12:22:34, 12:22:34, 12:22:34, 12:22:35, 12:22:35, 1
>> Csmith, 6, checksum = 68C7488, checksum = 68C7488,  * Seed:      2443584550, 3448, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 12:22:35, 1
>> Csmith, 7, checksum = 3BA0F774, checksum = 3BA0F774,  * Seed:      3101718796, 135112, 12:22:35, 12:22:41, 12:22:35, 12:22:40, 12:22:40, 12:22:41, 12:22:40, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 1
>> Csmith, 8, checksum = 624E8622, checksum = 624E8622,  * Seed:      4201104936, 3456, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 12:22:41, 1
>> Csmith, 9, checksum = F69D14D1, checksum = F69D14D1,  * Seed:      698695397, 169493, 12:22:41, 12:22:46, 12:22:41, 12:22:45, 12:22:45, 12:22:46, 12:22:45, 12:22:45, 12:22:45, 12:22:45, 12:22:46, 12:22:46, 1
>> Csmith, 10, checksum = 417FEB5, checksum = 417FEB5,  * Seed:      1360889600, 111094, 12:22:46, 12:22:48, 12:22:46, 12:22:47, 12:22:47, 12:22:48, 12:22:47, 12:22:48, 12:22:48, 12:22:48, 12:22:48, 12:22:48, 1
>> Csmith, 11, checksum = 5CB60F88, checksum = 5CB60F88,  * Seed:      3806677492, 127392, 12:22:48, 12:22:54, 12:22:48, 12:22:53, 12:22:53, 12:22:54, 12:22:53, 12:22:54, 12:22:54, 12:22:54, 12:22:54, 12:22:54, 1
>> Csmith, 12, checksum = 40EF9A, checksum = 40EF9A,  * Seed:      469418384, 54930, 12:22:54, 12:22:55, 12:22:54, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 12:22:55, 1
>> Csmith, 13, checksum = D986B3EE, checksum = D986B3EE,  * Seed:      434225959, 4733, 12:22:55, 12:22:56, 12:22:55, 12:22:55, 12:22:55, 12:22:56, 12:22:55, 12:22:56, 12:22:56, 12:22:56, 12:22:56, 12:22:56, 1
